Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Czech Republic,CZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6374.8,7000.4,8016.2,8838.7,9988,10649.1,11197.6,12673.8,13544.7,13948.9,14401.9,15675,16873.4,15963.1
Germany,DEU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70447.7,74144.7,82968.9,84434.4,88424.9,91159.6,95033.3,97179.4,100879.4,105373.5,105377.5,109262,105754.9,103121.9
Djibouti,DJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.9,2.7,1.9,2.3,2.8,8.1,6.9,4.2,6.6,7.8,7.5,5.8,4.1
Dominica,DMA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,2.4,5.3,4.2,2.9,5.2,5,8.5,6.9,10.8,11.3,10.1,9.5,7.7
Denmark,DNK,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7279.6,7751.3,8312.6,8536.3,9023.1,9283.4,9843.7,10395.9,11590,12675.1,13053.1,14022,14052.6,13470.7
Dominican Republic,DOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14,16.9,16.9,18.2,18.2,15.5,18.1,20.5,25.9,38.9,40.6,35.3,30.1
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.8,836.9,932.6,1287.5,1405.7,1742,2126.3,2137.4,2461,3063.4,3538.9,3679.5,4102.8,4447.1
East Asia & Pacific (excluding high income),EAP,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91885.64881,125908.722,172305.5148,199116.7064,226454.8525,264004.6386,307263.3049,338335.108,359787.4753,359540.3674,393342.4609,426884.3211,448409.8374,469078.4291
Early-demographic dividend,EAR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81474.22039,90177.01603,102055.0058,116971.2088,130034.9969,143697.5528,161699.812,180301.6247,206491.3392,222901.8034,240146.8868,262111.1504,272830.9886,288419.0021
East Asia & Pacific,EAS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264447.4771,312807.3661,381745.1206,420147.0248,456740.8775,498811.8186,550007.8203,591605.6774,624494.6714,627777.9077,666578.114,702708.395,716134.2222,728815.1292
Europe & Central Asia (excluding high income),ECA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63533.1515,66692.09,72087.95079,68854.90962,75467.94838,80163.3,87454.6,92446.4,97990,101551.8,108379.6,113326.2,123207,128786.6
Europe & Central Asia,ECS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463599.1171,494503.5802,545821.9186,565238.1167,596147.6065,621352.9119,652018.0001,671191.0076,702953.6568,734248.052,754879.0392,775796.1205,772776.9272,758302.8656
Ecuador,ECU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,91.5,126.2,123.4,140.9,152,181.9,190,168.6,253.5,270.2,409.1,666,1096.1
